entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I130,3,3,0%,2,2,0%,2,2,0%
I131,3,3,0%,2,2,0%,2,2,0%
I132,8,8,0%,9,9,0%,2,2,0%
I133,7,7,0%,7,7,0%,2,2,0%
I134,11,11,0%,14,14,0%,3,3,0%
I135,4,4,0%,4,4,0%,2,2,0%
I136,4,4,0%,3,3,0%,3,3,0%
I137,3,3,0%,2,2,0%,2,2,0%
I138,11,11,0%,14,14,0%,3,3,0%
I139,3,3,0%,2,2,0%,2,2,0%
I140,3,3,0%,2,2,0%,2,2,0%
I141,3,3,0%,2,2,0%,2,2,0%
I142,3,3,0%,2,2,0%,2,2,0%
I143,9,9,0%,12,12,0%,3,3,0%
I144,6,6,0%,7,7,0%,2,2,0%
I145,7,7,0%,8,8,0%,3,3,0%
I146,3,3,0%,2,2,0%,2,2,0%
I147,3,3,0%,2,2,0%,2,2,0%
I148,4,4,0%,3,3,0%,3,3,0%
I149,3,3,0%,2,2,0%,2,2,0%
I150,3,3,0%,2,2,0%,2,2,0%
I151,3,3,0%,2,2,0%,2,2,0%
I152,4,4,0%,4,4,0%,2,2,0%
I153,3,3,0%,2,2,0%,2,2,0%
I154,3,3,0%,2,2,0%,2,2,0%
I155,3,3,0%,2,2,0%,2,2,0%
I156,4,4,0%,3,3,0%,3,3,0%
I157,3,3,0%,2,2,0%,2,2,0%
I158,3,3,0%,2,2,0%,2,2,0%
I159,3,3,0%,2,2,0%,2,2,0%
I160,3,3,0%,2,2,0%,2,2,0%
I161,3,3,0%,2,2,0%,2,2,0%
I162,4,4,0%,4,4,0%,2,2,0%
I163,3,3,0%,2,2,0%,2,2,0%
I164,3,3,0%,2,2,0%,2,2,0%
I165,38,16,58%,76,23,70%,4,4,0%
I166,5,5,0%,5,5,0%,2,2,0%
I167,3,3,0%,2,2,0%,2,2,0%
I168,3,3,0%,2,2,0%,2,2,0%
I169,3,3,0%,2,2,0%,2,2,0%
I170,3,3,0%,2,2,0%,2,2,0%
I171,3,3,0%,2,2,0%,2,2,0%
I172,3,3,0%,2,2,0%,2,2,0%
I173,3,3,0%,2,2,0%,2,2,0%
I174,3,3,0%,2,2,0%,2,2,0%
I175,3,3,0%,2,2,0%,2,2,0%
I176,8,8,0%,9,9,0%,2,2,0%
I177,30,16,47%,46,20,57%,3,3,0%
I178,42,18,57%,76,23,70%,3,3,0%
I179,29,18,38%,45,23,49%,2,2,0%
I180,9,9,0%,11,11,0%,3,3,0%
I181,3,3,0%,2,2,0%,2,2,0%
I182,22,17,23%,33,24,27%,3,3,0%
I183,3,3,0%,2,2,0%,2,2,0%
I184,3,3,0%,2,2,0%,2,2,0%
I185,7,7,0%,8,8,0%,2,2,0%
I186,3,3,0%,2,2,0%,2,2,0%
I187,3,3,0%,2,2,0%,2,2,0%
I188,4,4,0%,4,4,0%,2,2,0%
I189,5,5,0%,5,5,0%,3,3,0%
I190,3,3,0%,2,2,0%,2,2,0%
I191,3,3,0%,2,2,0%,2,2,0%
I192,3,3,0%,2,2,0%,2,2,0%
I193,3,3,0%,2,2,0%,2,2,0%
I194,3,3,0%,2,2,0%,2,2,0%
I195,3,3,0%,2,2,0%,2,2,0%
I196,9,9,0%,10,10,0%,2,2,0%
I197,4,4,0%,3,3,0%,3,3,0%
I198,3,3,0%,2,2,0%,2,2,0%
I199,3,3,0%,2,2,0%,2,2,0%
I200,3,3,0%,2,2,0%,2,2,0%
I201,3,3,0%,2,2,0%,2,2,0%
I202,3,3,0%,2,2,0%,2,2,0%
I203,3,3,0%,2,2,0%,2,2,0%
I204,4,4,0%,4,4,0%,2,2,0%
I205,3,3,0%,2,2,0%,2,2,0%
I206,4,4,0%,3,3,0%,3,3,0%
I207,3,3,0%,2,2,0%,2,2,0%
I208,3,3,0%,2,2,0%,2,2,0%
I209,3,3,0%,2,2,0%,2,2,0%
I210,18,16,11%,30,25,17%,3,3,0%
I211,3,3,0%,2,2,0%,2,2,0%
I212,3,3,0%,2,2,0%,2,2,0%
I213,3,3,0%,2,2,0%,2,2,0%
I214,3,3,0%,2,2,0%,2,2,0%
I215,3,3,0%,2,2,0%,2,2,0%
I216,3,3,0%,2,2,0%,2,2,0%
I217,6,6,0%,6,6,0%,2,2,0%
I218,3,3,0%,2,2,0%,2,2,0%
I219,3,3,0%,2,2,0%,2,2,0%
I220,3,3,0%,2,2,0%,2,2,0%
I221,3,3,0%,2,2,0%,2,2,0%
I222,42,16,62%,92,23,75%,3,3,0%
I223,10,10,0%,13,13,0%,2,2,0%
I224,3,3,0%,2,2,0%,2,2,0%
I225,3,3,0%,2,2,0%,2,2,0%
I226,4,4,0%,3,3,0%,3,3,0%
I227,4,4,0%,3,3,0%,3,3,0%
I228,3,3,0%,2,2,0%,2,2,0%
I229,4,4,0%,3,3,0%,3,3,0%
I230,3,3,0%,2,2,0%,2,2,0%
I231,15,15,0%,19,19,0%,2,2,0%
I232,3,3,0%,2,2,0%,2,2,0%
I233,4,4,0%,4,4,0%,2,2,0%
I234,3,3,0%,2,2,0%,2,2,0%
I235,5,5,0%,5,5,0%,3,3,0%
I236,16,16,0%,24,24,0%,3,3,0%
I237,3,3,0%,2,2,0%,2,2,0%
I238,3,3,0%,2,2,0%,2,2,0%
I239,3,3,0%,2,2,0%,2,2,0%
I240,3,3,0%,2,2,0%,2,2,0%
I241,3,3,0%,2,2,0%,2,2,0%
I242,3,3,0%,2,2,0%,2,2,0%
I243,3,3,0%,2,2,0%,2,2,0%
I244,3,3,0%,2,2,0%,2,2,0%
I245,11,11,0%,13,13,0%,2,2,0%
I246,5,5,0%,5,5,0%,2,2,0%
I247,3,3,0%,2,2,0%,2,2,0%
I248,6,6,0%,7,7,0%,2,2,0%
I249,3,3,0%,2,2,0%,2,2,0%
I250,6,6,0%,6,6,0%,2,2,0%
I251,3,3,0%,2,2,0%,2,2,0%
I252,3,3,0%,2,2,0%,2,2,0%
I253,3,3,0%,2,2,0%,2,2,0%
I254,3,3,0%,2,2,0%,2,2,0%
I255,9,9,0%,10,10,0%,3,3,0%
I256,4,4,0%,3,3,0%,3,3,0%
I257,3,3,0%,2,2,0%,2,2,0%
I258,3,3,0%,2,2,0%,2,2,0%
I259,8,8,0%,8,8,0%,2,2,0%
I260,6,6,0%,6,6,0%,3,3,0%
I261,6,6,0%,6,6,0%,3,3,0%
I262,3,3,0%,2,2,0%,2,2,0%
I263,3,3,0%,2,2,0%,2,2,0%
I264,3,3,0%,2,2,0%,2,2,0%
I265,3,3,0%,2,2,0%,2,2,0%
I266,11,11,0%,11,11,0%,3,3,0%
I267,3,3,0%,2,2,0%,2,2,0%
I268,3,3,0%,2,2,0%,2,2,0%
